name,x,y,plst,dem,at
USC00010063,-87.1814,34.2553,34.38,249.3,34.4
USC00010160,-85.9481,32.9453,38.59,195.1,35.6
USC00010178,-88.155,33.1272,31.97,59.4,35.6
USC00010252,-86.5225,31.3072,32.96,76.2,33.9
USC00010260,-87.2747,34.9092,38.33,208.8,34.4
USC00010369,-85.7789,33.2942,34.06,311.5,33.9
USC00010390,-86.9508,34.7753,40.07,210,35
USC00010402,-87.4389,31.1819,32.99,91.4,35
USC00010425,-85.4653,32.5992,37.39,166.1,33.9
USC00010505,-87.3572,33.4528,31.34,85.3,35.6
USC00010583,-87.7853,30.8839,36.05,82.6,36.1
USC00010655,-86.8819,34.6892,37.11,183.8,35.6
USC00010764,-87.0078,33.3953,31,135.6,33.9
USC00011080,-87.0486,31.1414,32.62,48.8,33.9
USC00011084,-87.055,31.0583,33.46,25.9,35.6
USC00011099,-85.8008,34.9786,34.25,204.2,34.4
USC00011490,-85.6847,34.15,35.62,182.9,33.9
USC00011566,-88.2503,31.4714,33.33,86.9,33.9
USC00011620,-86.3431,33.285,37.51,127.4,36.1
USC00011694,-86.6522,32.8203,32.37,185.9,36.1
USC00011725,-85.45,31.8708,34.01,173.4,34.4
USC00011803,-88.2269,30.3875,31.09,3.7,33.3
USC00012096,-86.7972,34.1925,35.71,247.2,33.9
USC00012172,-88.0775,30.2506,32.46,2.4,32.8
USC00012245,-87.88,32.5192,29.9,30.5,34.4
USC00012350,-87.0586,33.7481,34.8,121.9,34.4
USC00012758,-86.9533,31.445,34.64,88.4,35
USC00012813,-87.8808,30.5467,33.23,7,36.1
USC00012883,-87.8214,33.6847,36.97,111.3,34.4
USC00013043,-85.7236,34.4406,37.64,279.5,36.1
USC00013154,-85.9878,34.0219,36.6,172.2,36.1
USC00013251,-85.8708,31.0383,35.85,44.2,34.4
USC00013511,-87.5814,32.7019,31.87,67.4,33.3
USC00013573,-86.3297,34.3344,31.09,176.2,33.9
USC00013575,-86.3294,34.3347,31.09,181.4,34.4
USC00013620,-87.6353,34.2314,34.84,280.4,32.8
USC00013645,-87.9914,34.0967,34.33,132.6,33.9
USC00013655,-86.7911,34.0678,35.23,179.8,33.3
USC00013761,-85.3397,31.3625,34.98,112.8,33.9
USC00013775,-85.6006,33.6483,31.64,259.1,32.8
USC00013781,-86.8336,33.2725,40.29,146.3,35.6
USC00013816,-86.2503,31.8814,30.89,132,35
USC00014226,-87.3153,33.9047,32.2,148.1,33.9
USC00014502,-85.4336,32.9069,34.79,225.6,34.4
USC00015635,-87.2989,34.4883,36.96,189.6,35
USC00015752,-87.5394,34.7889,37.01,162.8,33.3
USC00016129,-85.4492,32.6592,32.17,195.1,33.9
USC00016196,-86.445,34.5528,36.94,179.8,35
USC00016478,-86.685,33.6906,34.05,185.3,36.1
USC00016988,-87.7017,30.5653,32.98,49.1,35
USC00017020,-86.1758,32.8711,31.4,182.9,33.9
USC00017025,-85.2911,33.1581,35.39,228.6,33.3
USC00017157,-86.8133,34.1736,34.67,243.8,36.1
USC00017207,-85.9681,34.2878,38.06,362.7,33.9
USC00017304,-86.0536,34.6736,35.69,187.5,34.4
USC00017366,-87.0144,32.4111,38.6,44.8,35
USC00017999,-86.2114,33.2053,35.09,149.4,35
USC00018024,-86.135,33.4164,36.73,136.6,35.6
USC00018178,-87.7347,31.9172,35.46,118.9,35
USC00018209,-86.6708,32.9206,33.44,207.3,35.6
USC00018323,-85.9722,31.8075,37.43,165.2,33.9
USC00018380,-87.6161,33.2119,36.42,51.5,35
USC00018469,-85.6064,34.5686,34.17,341.7,32.8
USC00018812,-86.9142,34.2833,35.37,283.5,33.9
USC00018859,-86.2103,32.5906,34.05,78.3,35.6
USC00020080,-112.86,32.3697,51.81,533.7,35
USC00020100,-113.5778,34.2281,51.88,393.2,37.2
USC00020287,-111.3836,31.9792,40.88,840.9,33.3
USC00020586,-113.1744,34.5975,49.82,1199.4,27.8
USC00020672,-113.9422,36.9139,46.86,588.6,36.7
USC00020775,-109.9289,31.4475,37.92,1694.7,27.2
USC00020949,-114.0242,33.9431,54.48,281.9,42.2
USC00021050,-114.5686,35.1411,52.34,161.8,44.4
USC00021248,-109.5394,36.1533,34.02,1709.9,26.7
USC00021357,-110.9303,32.4178,46.79,825.1,35
USC00021654,-112.4567,34.7569,42.92,1447.8,28.9
USC00021849,-109.3072,33.0561,46.51,1072.9,31.7
USC00022527,-113.3664,35.2947,50.12,1674,26.7
USC00022659,-109.5394,31.345,45.19,1231.4,35
USC00022782,-111.6444,33.4192,48.96,462.7,38.3
USC00022790,-114.4706,33.6133,54.47,141.7,38.9
USC00023190,-111.7131,33.6028,55.54,481.6,34.4
USC00023393,-112.7131,32.9481,51.82,224,45
USC00023501,-110.7933,33.3947,40.56,1115.6,32.2
USC00023668,-110.9978,31.8931,48.32,883.9,34.4
USC00024675,-111.5972,31.96,27.99,2069.6,21.1
USC00024702,-113.9653,33.2742,46.41,541,36.1
USC00024761,-114.3603,34.5031,38.58,136.9,42.8
USC00024829,-112.1472,33.3369,51.02,345.9,36.7
